#Generated by  MIG Version 1.9
#Coregen 14.5 - Build Number P.20131013 on Ҝ 1 18 02:59:12 2015
#FPGA Part  xc7vx485t-ffg1761-2


IO Bank,Pin Number,Signal Name,IO Standard,Direction,Slew Rate,DiffPair Type,DiffPair Signal
39,K12,ddr3_dqs_p[1],DIFF_SSTL15_T_DCI,INOUT,FAST,P,ddr3_dqs_n[1]
39,J12,ddr3_dqs_n[1],DIFF_SSTL15_T_DCI,INOUT,FAST,N,ddr3_dqs_p[1]
39,H16,ddr3_dqs_p[2],DIFF_SSTL15_T_DCI,INOUT,FAST,P,ddr3_dqs_n[2]
39,G16,ddr3_dqs_n[2],DIFF_SSTL15_T_DCI,INOUT,FAST,N,ddr3_dqs_p[2]
39,C15,ddr3_dqs_p[3],DIFF_SSTL15_T_DCI,INOUT,FAST,P,ddr3_dqs_n[3]
39,C14,ddr3_dqs_n[3],DIFF_SSTL15_T_DCI,INOUT,FAST,N,ddr3_dqs_p[3]
37,A26,ddr3_dqs_p[4],DIFF_SSTL15_T_DCI,INOUT,FAST,P,ddr3_dqs_n[4]
37,A27,ddr3_dqs_n[4],DIFF_SSTL15_T_DCI,INOUT,FAST,N,ddr3_dqs_p[4]
37,F25,ddr3_dqs_p[5],DIFF_SSTL15_T_DCI,INOUT,FAST,P,ddr3_dqs_n[5]
37,E25,ddr3_dqs_n[5],DIFF_SSTL15_T_DCI,INOUT,FAST,N,ddr3_dqs_p[5]
37,B28,ddr3_dqs_p[6],DIFF_SSTL15_T_DCI,INOUT,FAST,P,ddr3_dqs_n[6]
37,B29,ddr3_dqs_n[6],DIFF_SSTL15_T_DCI,INOUT,FAST,N,ddr3_dqs_p[6]
37,E27,ddr3_dqs_p[7],DIFF_SSTL15_T_DCI,INOUT,FAST,P,ddr3_dqs_n[7]
37,E28,ddr3_dqs_n[7],DIFF_SSTL15_T_DCI,INOUT,FAST,N,ddr3_dqs_p[7]
38,H19,ddr3_ck_p[0],DIFF_SSTL15,OUT,FAST,P,ddr3_ck_n[0]
38,G18,ddr3_ck_n[0],DIFF_SSTL15,OUT,FAST,N,ddr3_ck_p[0]
